version,condition_uid
aaf_2007_ni39,1
aaf_2007_ni39,2
aaf_2007_ni39,3
aaf_2007_ni39,4
aaf_2007_ni39,5
aaf_2007_ni39,6
aaf_2007_ni39,7
aaf_2007_ni39,10
aaf_2007_ni39,13
aaf_2007_ni39,14
aaf_2007_ni39,15
aaf_2007_ni39,16
aaf_2007_ni39,22
aaf_2007_ni39,23
aaf_2007_ni39,28
aaf_2007_ni39,29
aaf_2007_ni39,31
aaf_2007_ni39,32
aaf_2007_ni39,34
aaf_2007_ni39,36
aaf_2007_ni39,38
aaf_2007_ni39,40
aaf_2007_ni39,41
aaf_2007_ni39,44
aaf_2007_ni39,46
aaf_2007_ni39,47
aaf_2007_ni39,51
aaf_2007_ni39,53
aaf_2007_ni39,54
aaf_2007_ni39,56
aaf_2007_ni39,58
aaf_2007_ni39,59
aaf_2007_ni39,60
aaf_2007_ni39,61
aaf_2007_ni39,62
aaf_2007_ni39,64
aaf_2007_ni39,67
aaf_2008_ljucph,1
aaf_2008_ljucph,2
aaf_2008_ljucph,3
aaf_2008_ljucph,4
aaf_2008_ljucph,5
aaf_2008_ljucph,6
aaf_2008_ljucph,7
aaf_2008_ljucph,8
aaf_2008_ljucph,10
aaf_2008_ljucph,13
aaf_2008_ljucph,14
aaf_2008_ljucph,15
aaf_2008_ljucph,16
aaf_2008_ljucph,22
aaf_2008_ljucph,23
aaf_2008_ljucph,24
aaf_2008_ljucph,26
aaf_2008_ljucph,27
aaf_2008_ljucph,28
aaf_2008_ljucph,29
aaf_2008_ljucph,30
aaf_2008_ljucph,31
aaf_2008_ljucph,32
aaf_2008_ljucph,33
aaf_2008_ljucph,34
aaf_2008_ljucph,35
aaf_2008_ljucph,36
aaf_2008_ljucph,37
aaf_2008_ljucph,38
aaf_2008_ljucph,40
aaf_2008_ljucph,42
aaf_2008_ljucph,43
aaf_2008_ljucph,44
aaf_2008_ljucph,46
aaf_2008_ljucph,47
aaf_2008_ljucph,50
aaf_2008_ljucph,53
aaf_2008_ljucph,54
aaf_2008_ljucph,55
aaf_2008_ljucph,56
aaf_2008_ljucph,57
aaf_2008_ljucph,58
aaf_2008_ljucph,59
aaf_2008_ljucph,60
aaf_2008_ljucph,61
aaf_2008_ljucph,62
aaf_2008_ljucph,65
aaf_2008_ljucph,67
aaf_2014_ljucph,1
aaf_2014_ljucph,2
aaf_2014_ljucph,3
aaf_2014_ljucph,4
aaf_2014_ljucph,5
aaf_2014_ljucph,6
aaf_2014_ljucph,7
aaf_2014_ljucph,8
aaf_2014_ljucph,9
aaf_2014_ljucph,10
aaf_2014_ljucph,11
aaf_2014_ljucph,12
aaf_2014_ljucph,13
aaf_2014_ljucph,14
aaf_2014_ljucph,15
aaf_2014_ljucph,16
aaf_2014_ljucph,17
aaf_2014_ljucph,18
aaf_2014_ljucph,19
aaf_2014_ljucph,20
aaf_2014_ljucph,21
aaf_2014_ljucph,22
aaf_2014_ljucph,23
aaf_2014_ljucph,25
aaf_2014_ljucph,27
aaf_2014_ljucph,28
aaf_2014_ljucph,29
aaf_2014_ljucph,30
aaf_2014_ljucph,31
aaf_2014_ljucph,32
aaf_2014_ljucph,33
aaf_2014_ljucph,34
aaf_2014_ljucph,36
aaf_2014_ljucph,37
aaf_2014_ljucph,38
aaf_2014_ljucph,39
aaf_2014_ljucph,42
aaf_2014_ljucph,43
aaf_2014_ljucph,45
aaf_2014_ljucph,47
aaf_2014_ljucph,48
aaf_2014_ljucph,49
aaf_2014_ljucph,52
aaf_2014_ljucph,56
aaf_2014_ljucph,59
aaf_2014_ljucph,61
aaf_2014_ljucph,63
aaf_2014_ljucph,66
aaf_2014_ljucph,68
aaf_2014_ljucph,69
aaf_2017_phe,1
aaf_2017_phe,2
aaf_2017_phe,3
aaf_2017_phe,4
aaf_2017_phe,5
aaf_2017_phe,6
aaf_2017_phe,7
aaf_2017_phe,8
aaf_2017_phe,9
aaf_2017_phe,10
aaf_2017_phe,11
aaf_2017_phe,12
aaf_2017_phe,13
aaf_2017_phe,14
aaf_2017_phe,15
aaf_2017_phe,16
aaf_2017_phe,17
aaf_2017_phe,18
aaf_2017_phe,19
aaf_2017_phe,20
aaf_2017_phe,21
aaf_2017_phe,22
aaf_2017_phe,23
aaf_2017_phe,25
aaf_2017_phe,27
aaf_2017_phe,28
aaf_2017_phe,29
aaf_2017_phe,30
aaf_2017_phe,31
aaf_2017_phe,32
aaf_2017_phe,33
aaf_2017_phe,34
aaf_2017_phe,36
aaf_2017_phe,37
aaf_2017_phe,38
aaf_2017_phe,39
aaf_2017_phe,42
aaf_2017_phe,43
aaf_2017_phe,45
aaf_2017_phe,47
aaf_2017_phe,48
aaf_2017_phe,49
aaf_2017_phe,52
aaf_2017_phe,56
aaf_2017_phe,59
aaf_2017_phe,61
aaf_2017_phe,63
aaf_2017_phe,66
aaf_2017_phe,68
aaf_2017_phe,69
