condition_uid,version,acs_af
1,ccg_ois_26,1
2,ccg_ois_26,1
3,ccg_ois_26,1
4,ccg_ois_26,1
5,ccg_ois_26,1
6,ccg_ois_26,1
7,ccg_ois_26,1
8,ccg_ois_26,1
9,ccg_ois_26,1
10,ccg_ois_26,1
11,ccg_ois_26,1
12,ccg_ois_26,1
13,ccg_ois_26,1
14,ccg_ois_26,1
15,ccg_ois_26,1
16,ccg_ois_26,1
17,ccg_ois_26,1
18,ccg_ois_26,1
19,ccg_ois_26,1
20,ccg_ois_26,1
21,ccg_ois_26,1
22,ccg_ois_26,1
23,ccg_ois_26,1
24,ccg_ois_26,1
25,ccg_ois_26,1
26,ccg_ois_26,1
27,ccg_ois_26,1
28,ccg_ois_26,1
29,ccg_ois_26,1
30,ccg_ois_26,1
31,ccg_ois_26,1
32,ccg_ois_26,1
33,ccg_ois_26,1
34,ccg_ois_26,1
35,ccg_ois_26,1
